party-id,collision-id,party-number,party-type,is-at-fault,is-on-duty-emergency-vehicle,is-hit-and-run,airbag-code,airbag-description,safety-equipment-code,safety-equipment-description,special-information,other-associate-factor,inattention-direction-of-travel,street-or-highway-name,speed-limit,movement-prec-coll-code,movement-prec-coll-description,sobriety-drug-physical-code-1,sobriety-drug-physical-description-1,sobriety-drug-physical-code-2,sobriety-drug-physical-description-2,gender-code,gender-description,stated-age,driver-license-class,driver-license-state-code,race-code,race-desc,v-1-year,v-1-make,v-1-model,v-1-color,v-1-is-vehicle-towed,lane,thru-lanes,total-lanes,is-dre-conducted
3215313,1681526,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,VC SECTION VIOLATED - VC 22107,N,I-880,65,R,OTHER,E,UNDER_DRUG_INFLUENCE,,,M,MALE,28,C,CA,,,2016,LEXS,IS200T,BLK,False,1,1,4,False
3213485,1680559,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,W,I-580,65,H,SLOWING/STOPPING,A,HAD NOT BEEN DRINKING,,,F,FEMALE,59,C,CA,,,2019,HOND,HRV,BLK,False,4,4,4,False
3213484,1680559,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,W,I-580,65,B,PROCEEDING STRAIGHT,G,IMPAIRMENT_NOT_KNOWN,,,F,FEMALE,26,U,CA,,,2018,KIA,SORENTO,GRY,False,4,4,4,False
3212376,1679983,2,Driver,,False,False,L,AIR BAG DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,W,I-580 W/B,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,72,C,CA,,,2018,FORD,TRANSIT VAN,WHI,True,3,4,4,False
3212375,1679983,1,Driver,True,False,False,L,AIR BAG DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,W,I-580 W/B,65,R,OTHER,A,HAD NOT BEEN DRINKING,,,F,FEMALE,22,C,AL,,,2010,CHEV,CAMARO,ONG,False,4,4,4,False
3212367,1679978,3,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,W,I-580 W/B,65,H,SLOWING/STOPPING,A,HAD NOT BEEN DRINKING,,,M,MALE,46,C,CA,,,2005,DODG,DAKOTA,WHI,False,3,3,3,False
3212366,1679978,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,W,I-580 W/B,65,H,SLOWING/STOPPING,A,HAD NOT BEEN DRINKING,,,M,MALE,55,C,CA,,,2002,TOYT,4 RUNNER,SIL,False,3,3,3,False
3212365,1679978,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,W,I-580 W/B,65,J,CHANGING LANES,A,HAD NOT BEEN DRINKING,,,M,MALE,28,C,CA,,,2021,IZUZU,NRR,WHI,False,3,3,3,False
3212323,1679958,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,N,I-880,65,R,OTHER,A,HAD NOT BEEN DRINKING,,,F,FEMALE,65,C,CA,,,2011,BMW,X3,BLK,True,EXIT,4,5,False
3211612,1679560,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,W,I-580,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,65,C,CA,,,2017,CADI,CTS V,BLK,False,1,4,4,False
