party-id,collision-id,party-number,party-type,is-at-fault,is-on-duty-emergency-vehicle,is-hit-and-run,airbag-code,airbag-description,safety-equipment-code,safety-equipment-description,direction-of-travel,street-or-highway-name,speed-limit,movement-prec-coll-code,movement-prec-coll-description,sobriety-drug-physical-code-1,sobriety-drug-physical-description-1,sobriety-drug-physical-code-2,sobriety-drug-physical-description-2,gender-code,gender-description,stated-age,driver-license-class,driver-license-state-code,race-code,race-desc,v-1-year,v-1-make,v-1-model,v-1-color,v-1-is-vehicle-towed,lane,thru-lanes,total-lanes,is-dre-conducted
7262400,1970963,3,Driver,,False,True,B,UNKNOWN,B,OCCUPANT UNKNOWN,N,I-880,65,B,PROCEEDING STRAIGHT,G,IMPAIRMENT_NOT_KNOWN,,,,,,,,,,,,,,False,1,4,4,False
7262399,1970963,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,N,I-880,65,A,STOPPED,A,HAD NOT BEEN DRINKING,,,F,FEMALE,33,F,HI,,,2015,TOYT,RAV4,GRY,False,1,4,4,False
7262398,1970963,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,N,I-880,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,F,FEMALE,25,C,CA,,,2019,HOND,FIT,GRY,False,1,4,4,False
7249582,1970799,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,W,I580 W/B,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,F,FEMALE,55,C,CA,,,2017,TOYT,CAMRY,BGE,True,3,4,4,False
7249581,1970799,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,W,I580 W/B,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,F,FEMALE,27,C,CA,,,1998,FORD,TAURUS,DGR,True,4,4,4,False
7249495,1970750,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,H,OCCUPANT LAP SHOULDER HARNESS NOT USED,S,I-880,65,R,OTHER,A,HAD NOT BEEN DRINKING,,,M,MALE,24,U,CA,,,2017,HYUN,SONATA,RED,False,3,4,5,False
7249250,1970613,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,S,I-880,55,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,F,FEMALE,21,C,CA,,,2004,TOYT,CAMRY,SIL,False,2,5,5,False
7249249,1970613,1,Driver,True,False,True,B,UNKNOWN,B,OCCUPANT UNKNOWN,S,I-880,55,J,CHANGING LANES,A,HAD NOT BEEN DRINKING,,,U,UNKNOWN,,,,,,,,,,False,3,5,5,False
7249179,1970571,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,W,I-80,55,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,59,C,CA,,,2017,FORD,MUSTANG,BLU,False,2,3,3,False
7249178,1970571,1,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,W,I-80,55,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,73,C,CA,,,2006,HOND,ACCORD,WHI,True,1,3,3,False
